question_id,question,choice,choice_text,王様,爆速スピードスター,情熱ファイター,勝利の設計士,ファンタジスタ,フィジカルモンスター,器用貧乏のバランサー,戦場の統率者,空中戦の覇者,守備職人,ひらめき司令塔,気分屋の天才,献身的なハードワーカー,スナイパー
Q1,試合開始直後、自分はどう入りたい？,A,自分が中心になって流れをつかむ,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Q1,試合開始直後、自分はどう入りたい？,B,速い動きで相手の隙を作る,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Q1,試合開始直後、自分はどう入りたい？,C,球際で熱く戦って勢いを出す,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Q1,試合開始直後、自分はどう入りたい？,D,勝つために相手の弱点を見る,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Q2,ボールを受けた瞬間、まず何をしたい？,A,技術で相手の意表をつく,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Q2,ボールを受けた瞬間、まず何をしたい？,B,体の強さでキープする,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Q2,ボールを受けた瞬間、まず何をしたい？,C,安全に運びながら守備リスクも考える,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Q2,ボールを受けた瞬間、まず何をしたい？,D,声を出して味方を動かす,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Q3,ピンチの場面で自分は？,A,相手の動きを読んで止める,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Q3,ピンチの場面で自分は？,B,全力で戻って味方を助ける,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Q3,ピンチの場面で自分は？,C,自分が前に出て流れを変える,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Q3,ピンチの場面で自分は？,D,スピードで先回りする,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Q4,チャンスの場面では？,A,気持ちでゴールに向かう,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Q4,チャンスの場面では？,B,勝つために一番確率の高い選択をする,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Q4,チャンスの場面では？,C,技術で相手を崩す,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Q4,チャンスの場面では？,D,体の強さで押し切る,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Q5,相手とぶつかる場面では？,A,無理せず次のプレーにつなげる,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Q5,相手とぶつかる場面では？,B,声と指示で味方を助ける,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Q5,相手とぶつかる場面では？,C,読みとタイミングで勝つ,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Q5,相手とぶつかる場面では？,D,味方のために体を張る,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Q6,試合終盤、疲れてきた時は？,A,空中戦や競り合いで流れを変える,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Q6,試合終盤、疲れてきた時は？,B,一瞬のアイデアでチャンスを作る,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Q6,試合終盤、疲れてきた時は？,C,調子が良ければ大胆なプレーを狙う,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Q6,試合終盤、疲れてきた時は？,D,遠くからでもミドルシュートを狙う,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Q7,味方がミスした時、自分は？,A,自分が主役になって取り返す,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Q7,味方がミスした時、自分は？,B,スピードで素早くカバーする,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Q7,味方がミスした時、自分は？,C,気持ちで取り返しにいく,0,0,2,0,0,0,0,0,0,1,0,0,0,0
Q7,味方がミスした時、自分は？,D,次に同じミスをしないよう考える,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Q8,自分の武器に近いのは？,A,意外性のある技術,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Q8,自分の武器に近いのは？,B,体の強さ,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Q8,自分の武器に近いのは？,C,何でもこなせる安定感,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Q8,自分の武器に近いのは？,D,味方をまとめる声かけ,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Q9,高いボールや浮き球では？,A,落下地点を読んで対応する,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Q9,高いボールや浮き球では？,B,味方のために競り合う,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Q9,高いボールや浮き球では？,C,絶対に競り勝つ,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Q9,高いボールや浮き球では？,D,次の展開をひらめきで作る,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Q10,1対1の場面では？,A,ノリに乗ったら大胆に仕掛ける,0,0,0,0,0,0,0,0,0,0,1,2,0,0
Q10,1対1の場面では？,B,少し空いたらミドルを撃つ,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Q10,1対1の場面では？,C,自分で勝負して主導権を握る,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Q10,1対1の場面では？,D,スピードで一気に抜く,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Q11,調子がいい時の自分は？,A,気持ちでチームを引っ張る,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Q11,調子がいい時の自分は？,B,勝つための流れを作れる,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Q11,調子がいい時の自分は？,C,技術で相手を翻弄できる,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Q11,調子がいい時の自分は？,D,フィジカルで相手を圧倒できる,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Q12,調子が悪い日は？,A,できることを全部こなす,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Q12,調子が悪い日は？,B,声を出してチームを整える,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Q12,調子が悪い日は？,C,守備で安定させる,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Q12,調子が悪い日は？,D,走って味方を支える,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Q13,味方から言われて嬉しい言葉は？,A,空中戦強いな,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Q13,味方から言われて嬉しい言葉は？,B,発想がすごい,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Q13,味方から言われて嬉しい言葉は？,C,ハマった時すごい,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Q13,味方から言われて嬉しい言葉は？,D,シュートうまいな,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Q14,試合中、自然とやっていることは？,A,自分が中心になってボールを呼ぶ,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Q14,試合中、自然とやっていることは？,B,スペースへ速く動く,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Q14,試合中、自然とやっていることは？,C,球際で強く戦う,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Q14,試合中、自然とやっていることは？,D,勝つための位置を取る,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Q15,チームに必要な存在になるなら？,A,技術で違いを作る,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Q15,チームに必要な存在になるなら？,B,体の強さで支える,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Q15,チームに必要な存在になるなら？,C,どこでも支えられる,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Q15,チームに必要な存在になるなら？,D,味方を統率する,0,0,0,0,0,0,0,2,0,0,0,0,0,0
