position,playstyle,sort_order
CF,裏抜け,1
CF,偽9番,2
CF,ポストプレー,3
トップ下,チャンスメイク,1
トップ下,司令塔,2
トップ下,飛び出し型,3
WG,カットイン,1
WG,縦突破,2
WG,クロス,3
サイド,カットイン,1
サイド,縦突破,2
サイド,クロス,3
ウィングバック,対人守備,1
ウィングバック,クロス,2
ウィングバック,オーバーラップ,3
ウィングバック,インナーラップ,4
ボランチ,ゲームメイク,1
ボランチ,対人守備,2
ボランチ,攻守万能,3
ボランチ,飛び出し型,4
ボランチ,司令塔,5
アンカー,対人守備,1
アンカー,攻守万能,2
アンカー,ゲームメイク,3
サイドバック,インナーラップ,1
サイドバック,オーバーラップ,2
サイドバック,クロス,3
サイドバック,対人守備,4
サイドバック,ビルドアップ,5
センターバック,ビルドアップ,1
センターバック,対人守備,2
センターバック,攻撃参加,3
ゴールキーパー,ビルドアップ型,1
ゴールキーパー,飛び出し型,2
ゴールキーパー,守護神,3
